iter	Passed	Remaining
0	58	58062
1	58	29194
2	59	19835
3	60	15000
4	60	12065
5	61	10126
6	61	8743
7	62	7700
8	62	6891
9	63	6242
10	63	5714
11	63	5267
12	64	4888
13	64	4566
14	65	4293
15	65	4050
16	67	3886
17	67	3690
18	68	3519
19	68	3361
20	69	3224
21	69	3097
22	70	2981
23	70	2872
24	71	2779
25	72	2711
26	72	2626
27	73	2548
28	74	2478
29	74	2406
30	75	2346
31	75	2283
32	75	2224
33	76	2172
34	76	2121
35	77	2075
36	78	2030
37	79	2004
38	79	1961
39	80	1921
40	80	1884
41	81	1848
42	81	1813
43	81	1779
44	82	1748
45	82	1718
46	83	1689
47	83	1660
48	84	1633
49	84	1608
50	85	1584
51	85	1559
52	86	1539
53	87	1525
54	88	1513
55	88	1493
56	89	1475
57	89	1456
58	90	1437
59	90	1421
60	91	1404
61	91	1386
62	92	1369
63	92	1354
64	93	1338
65	93	1322
66	94	1309
67	94	1294
68	94	1281
69	95	1268
70	95	1254
71	96	1241
72	97	1237
73	97	1225
74	98	1214
75	98	1203
76	99	1194
77	100	1183
78	100	1173
79	101	1161
80	101	1153
81	102	1143
82	102	1130
83	102	1122
84	103	1114
85	104	1105
86	104	1096
87	104	1087
88	105	1078
89	105	1071
90	106	1062
91	106	1054
92	107	1046
93	107	1039
94	108	1031
95	108	1024
96	109	1016
97	109	1008
98	110	1001
99	110	994
100	111	988
101	111	981
102	111	974
103	112	968
104	112	962
105	113	956
106	113	950
107	114	944
108	114	938
109	115	933
110	116	929
111	116	923
112	117	919
113	117	914
114	118	908
115	118	903
116	119	898
117	119	893
118	120	889
119	120	883
120	120	878
121	121	872
122	121	867
123	122	862
124	122	858
125	123	854
126	123	849
127	123	844
128	124	840
129	125	836
130	125	832
131	125	828
132	126	824
133	126	820
134	127	815
135	127	812
136	128	808
137	128	804
138	129	801
139	129	796
140	130	793
141	130	788
142	130	784
143	131	781
144	131	777
145	132	775
146	132	771
147	133	768
148	133	764
149	134	762
150	135	759
151	135	755
152	135	751
153	136	748
154	136	745
155	137	741
156	137	738
157	138	735
158	139	736
159	139	733
160	140	730
161	140	726
162	141	724
163	141	720
164	141	718
165	142	715
166	142	712
167	143	710
168	144	708
169	144	705
170	144	702
171	145	700
172	146	698
173	146	695
174	146	692
175	147	690
176	147	687
177	148	684
178	148	682
179	149	679
180	149	677
181	150	674
