iter	Passed	Remaining
0	1	111
1	1	78
2	1	63
3	2	53
4	2	48
5	2	46
6	3	44
7	3	42
8	4	41
9	4	39
10	4	39
11	5	38
12	5	38
13	6	37
14	6	37
15	6	36
16	7	35
17	7	34
18	8	34
19	8	33
20	8	33
21	9	32
22	9	31
23	9	31
24	10	30
25	10	30
26	11	29
27	11	29
28	11	28
29	12	28
30	12	27
31	12	27
32	13	27
33	13	26
34	14	26
35	14	25
36	14	25
37	15	24
38	15	24
39	16	24
40	16	23
41	16	23
42	17	22
43	17	22
44	17	21
45	18	21
46	18	21
47	19	20
48	19	20
49	20	20
50	20	19
51	20	19
52	21	18
53	21	18
54	22	18
55	22	17
56	22	17
57	23	16
58	23	16
59	24	16
60	24	15
61	25	15
62	25	14
63	25	14
64	26	14
65	26	13
66	27	13
67	27	12
68	27	12
69	28	12
70	28	11
71	29	11
72	29	10
73	30	10
74	30	10
75	30	9
76	31	9
77	31	8
78	31	8
79	32	8
80	32	7
81	33	7
82	33	6
83	34	6
84	34	6
85	34	5
86	35	5
87	36	4
88	36	4
89	37	4
90	37	3
91	38	3
92	38	2
93	38	2
94	39	2
95	39	1
96	40	1
97	40	0
98	40	0
99	41	0
